target,feature,corr,n
car_mm_1q_m5_p5_pct,news__nw_lm_lit_prop__pre,-0.016594669468338288,400
car_mm_1q_m5_p5_pct,tr__tr_lm_neg_prop__all__all,-0.015967933949637945,400
car_mm_1q_m5_p5_pct,news__nw_lm_lit_prop__post_minus_pre,-0.01310071134735203,400
car_mm_1q_m5_p5_pct,tr__tr_lm_tone__prepared__all,0.011951354729991058,400
car_mm_1q_m5_p5_pct,tr__tr_lm_neg_prop__prepared__all,-0.009257335441380469,400
car_mm_1q_m5_p5_pct,tr__tr_lm_pos_prop__prepared__all,0.008691427800945523,400
car_mm_1q_m5_p5_pct,tr__tr_lm_unc_prop__qa__all,-0.007264162441018283,400
car_mm_1q_m5_p5_pct,news__nw_lm_unc_prop__pre,0.006268895205752718,400
car_mm_1q_m5_p5_pct,tr__tr_lm_lit_prop__prepared__all,0.002509166023057797,400
car_simple_m1_p1_pct,news__nw_lm_tone__post,0.2746437030367487,400
car_simple_m1_p1_pct,news__nw_lm_neg_prop__post,-0.26299019596945095,400
car_simple_m1_p1_pct,news__nw_lm_neg_prop__post_minus_pre,-0.22223821821119605,400
car_simple_m1_p1_pct,news__nw_lm_tone__post_minus_pre,0.21401470588487626,400
car_simple_m1_p1_pct,news__nw_lm_tone__all,0.2041598957705379,400
car_simple_m1_p1_pct,news__nw_lm_neg_prop__all,-0.17206978335289308,400
car_simple_m1_p1_pct,news__nw_lm_pos_prop__all,0.1709234475632863,400
car_simple_m1_p1_pct,news__nw_lm_pos_prop__post,0.1627560352921185,400
car_simple_m1_p1_pct,news__nw_lm_pos_prop__pre,0.08962240405485693,400
car_simple_m1_p1_pct,news__nw_lm_tone__pre,0.08043552774380412,400
car_simple_m1_p1_pct,news__nw_lm_constr_prop__all,-0.07744364013025098,400
car_simple_m1_p1_pct,news__nw_lm_pos_prop__post_minus_pre,0.07083352953046289,400
car_simple_m1_p1_pct,tr__tr_lm_unc_prop__all__all,-0.07048482605594182,400
car_simple_m1_p1_pct,news__nw_lm_constr_prop__post,-0.0650284741908711,400
car_simple_m1_p1_pct,tr__tr_lm_lit_prop__all__all,0.06147893360273821,400
car_simple_m1_p1_pct,tr__tr_lm_lit_prop__qa__all,0.05526027946495777,400
car_simple_m1_p1_pct,tr__tr_lm_unc_prop__prepared__all,-0.054889063323867025,400
car_simple_m1_p1_pct,tr__tr_lm_lit_prop__prepared__all,0.05413059256456477,400
car_simple_m1_p1_pct,news__nw_lm_unc_prop__post_minus_pre,-0.05257565615678231,400
car_simple_m1_p1_pct,news__nw_lm_neg_prop__pre,-0.05104228097208217,400
car_simple_m1_p1_pct,tr__tr_lm_neg_prop__prepared__all,0.04807681345692119,400
car_simple_m1_p1_pct,tr__tr_lm_tone__prepared__all,-0.04367735141274871,400
car_simple_m1_p1_pct,tr__tr_lm_unc_prop__qa__all,-0.04336336194065885,400
car_simple_m1_p1_pct,news__nw_lm_constr_prop__pre,-0.0428833685241864,400
car_simple_m1_p1_pct,news__nw_lm_lit_prop__post,-0.03926671665249687,400
car_simple_m1_p1_pct,news__nw_lm_lit_prop__all,-0.03529183859321831,400
car_simple_m1_p1_pct,news__nw_lm_unc_prop__post,-0.03496040843507945,400
car_simple_m1_p1_pct,tr__tr_lm_pos_prop__qa__all,0.03243286107662475,400
car_simple_m1_p1_pct,tr__tr_lm_constr_prop__qa__all,-0.029171102430914458,400
car_simple_m1_p1_pct,tr__tr_lm_constr_prop__prepared__all,0.02822054334657003,400
car_simple_m1_p1_pct,news__nw_lm_unc_prop__pre,0.027232635970403145,400
