ticker,earnings_date,announce_timing,day0_date,date,offset,open,high,low,close,adj_close,volume
MA,2022-10-27,bmo,2022-10-27,2022-10-31,2,328.8800048828125,329.44000244140625,323.7799987792969,328.17999267578125,321.97747802734375,3157900.0
MA,2022-10-27,bmo,2022-10-27,2022-11-01,3,332.2200012207031,333.6400146484375,327.0899963378906,333.19000244140625,326.89276123046875,3660400.0
MA,2022-10-27,bmo,2022-10-27,2022-11-02,4,331.4200134277344,333.0,319.6300048828125,319.82000732421875,313.77545166015625,3074900.0
MA,2022-10-27,bmo,2022-10-27,2022-11-03,5,315.1199951171875,316.7699890136719,308.6000061035156,309.1700134277344,303.32672119140625,2860900.0
MA,2022-10-27,bmo,2022-10-27,2022-11-04,6,313.8399963378906,323.1300048828125,313.239990234375,318.3699951171875,312.3528137207031,3414000.0
MA,2022-10-27,bmo,2022-10-27,2022-11-07,7,322.45001220703125,325.79998779296875,317.7099914550781,325.1300048828125,318.985107421875,2742100.0
MA,2022-10-27,bmo,2022-10-27,2022-11-08,8,326.2300109863281,329.3999938964844,322.260009765625,325.75,319.5933532714844,2387500.0
MA,2022-10-27,bmo,2022-10-27,2022-11-09,9,322.2799987792969,323.69000244140625,315.1499938964844,315.6400146484375,309.6744384765625,3001200.0
MA,2022-10-27,bmo,2022-10-27,2022-11-10,10,331.17999267578125,337.3999938964844,329.1600036621094,337.2699890136719,330.8956298828125,3255000.0
MA,2023-01-26,bmo,2023-01-26,2023-01-11,-10,372.6199951171875,377.9200134277344,371.260009765625,377.8599853515625,371.3200988769531,3370200.0
MA,2023-01-26,bmo,2023-01-26,2023-01-12,-9,377.8599853515625,381.1300048828125,376.9200134277344,379.80999755859375,373.2363586425781,3291200.0
MA,2023-01-26,bmo,2023-01-26,2023-01-13,-8,375.05999755859375,377.8699951171875,374.30999755859375,375.5199890136719,369.0206604003906,4261000.0
MA,2023-01-26,bmo,2023-01-26,2023-01-17,-7,375.0,378.3299865722656,373.9800109863281,375.0,368.5096435546875,2814500.0
MA,2023-01-26,bmo,2023-01-26,2023-01-18,-6,374.510009765625,375.80999755859375,368.5,368.9200134277344,362.5348815917969,2747100.0
MA,2023-01-26,bmo,2023-01-26,2023-01-19,-5,364.6000061035156,370.7999877929687,363.6000061035156,367.94000244140625,361.5718078613281,3111200.0
MA,2023-01-26,bmo,2023-01-26,2023-01-20,-4,370.2300109863281,376.6199951171875,369.3999938964844,376.2799987792969,369.7674865722656,3863400.0
MA,2023-01-26,bmo,2023-01-26,2023-01-23,-3,376.739990234375,381.3800048828125,376.3599853515625,378.5700073242187,372.0178833007813,2743900.0
MA,2023-01-26,bmo,2023-01-26,2023-01-24,-2,390.0,390.0,375.2200012207031,380.010009765625,373.4329223632813,2756200.0
MA,2023-01-26,bmo,2023-01-26,2023-01-25,-1,375.1000061035156,382.55999755859375,375.1000061035156,382.3900146484375,375.7717895507813,3501900.0
MA,2023-01-26,bmo,2023-01-26,2023-01-26,0,383.4100036621094,384.1099853515625,373.0,377.239990234375,370.7108459472656,3718400.0
MA,2023-01-26,bmo,2023-01-26,2023-01-27,1,376.19000244140625,380.5199890136719,373.3800048828125,374.0299987792969,367.5564270019531,3405600.0
MA,2023-01-26,bmo,2023-01-26,2023-01-30,2,369.4599914550781,373.739990234375,369.3999938964844,371.1199951171875,364.69677734375,2688600.0
MA,2023-01-26,bmo,2023-01-26,2023-01-31,3,369.989990234375,372.4800109863281,367.0199890136719,370.6000061035156,364.185791015625,3137400.0
MA,2023-01-26,bmo,2023-01-26,2023-02-01,4,368.5700073242187,376.7799987792969,367.0,374.0799865722656,367.60552978515625,2951900.0
MA,2023-01-26,bmo,2023-01-26,2023-02-02,5,379.5199890136719,380.4700012207031,372.7999877929687,374.94000244140625,368.4507141113281,2761600.0
