2026-02-07T22:59:20.957322-05:00 | MU 2021-12-20: missing post-window coverage; latest=2022-01-02 end=2022-01-03
2026-02-07T22:59:20.959952-05:00 | MU 2021-12-20: coverage incomplete; retrying per-day mode
2026-02-07T22:59:28.526224-05:00 | MU 2021-12-20: missing post-window coverage; latest=2022-01-02 end=2022-01-03
2026-02-07T22:59:30.271393-05:00 | MU 2022-09-29: missing pre-window coverage; earliest=2022-09-16 start=2022-09-15
2026-02-07T22:59:30.273439-05:00 | MU 2022-09-29: coverage incomplete; retrying per-day mode
2026-02-07T22:59:39.253268-05:00 | MU 2022-09-29: missing pre-window coverage; earliest=2022-09-16 start=2022-09-15
2026-02-07T22:59:40.447944-05:00 | MU 2023-03-28: missing pre-window coverage; earliest=2023-03-15 start=2023-03-14
2026-02-07T22:59:40.449936-05:00 | MU 2023-03-28: coverage incomplete; retrying per-day mode
2026-02-07T22:59:47.433290-05:00 | MU 2023-03-28: missing pre-window coverage; earliest=2023-03-15 start=2023-03-14
2026-02-07T22:59:48.483957-05:00 | MU 2023-06-28: missing pre-window coverage; earliest=2023-06-15 start=2023-06-14
2026-02-07T22:59:48.486316-05:00 | MU 2023-06-28: coverage incomplete; retrying per-day mode
2026-02-07T22:59:56.122393-05:00 | MU 2023-06-28: missing pre-window coverage; earliest=2023-06-15 start=2023-06-14
2026-02-07T22:59:59.344748-05:00 | MU 2024-09-25: missing post-window coverage; latest=2024-10-08 end=2024-10-09
2026-02-07T22:59:59.349394-05:00 | MU 2024-09-25: coverage incomplete; retrying per-day mode
2026-02-07T23:00:10.532641-05:00 | MU 2024-09-25: missing post-window coverage; latest=2024-10-08 end=2024-10-09
2026-02-07T23:00:11.348167-05:00 | MU 2024-12-18: missing pre-window coverage; earliest=2024-12-06 start=2024-12-04
2026-02-07T23:00:11.351891-05:00 | MU 2024-12-18: coverage incomplete; retrying per-day mode
2026-02-07T23:00:19.652485-05:00 | MU 2024-12-18: missing pre-window coverage; earliest=2024-12-06 start=2024-12-04
2026-02-07T23:00:36.681310-05:00 | BAC 2021-01-19: missing post-window coverage; latest=2021-02-01 end=2021-02-02
2026-02-07T23:00:36.682921-05:00 | BAC 2021-01-19: coverage incomplete; retrying per-day mode
2026-02-07T23:00:44.606075-05:00 | BAC 2021-01-19: missing post-window coverage; latest=2021-02-01 end=2021-02-02
2026-02-07T23:00:45.349038-05:00 | BAC 2021-04-15: missing post-window coverage; latest=2021-04-28 end=2021-04-29
2026-02-07T23:00:45.352525-05:00 | BAC 2021-04-15: coverage incomplete; retrying per-day mode
2026-02-07T23:00:53.486862-05:00 | BAC 2021-04-15: missing post-window coverage; latest=2021-04-28 end=2021-04-29
2026-02-07T23:00:56.901379-05:00 | BAC 2022-07-18: missing pre-window coverage; earliest=2022-07-05 start=2022-07-04
2026-02-07T23:00:56.904129-05:00 | BAC 2022-07-18: coverage incomplete; retrying per-day mode
2026-02-07T23:01:06.643693-05:00 | BAC 2022-07-18: missing pre-window coverage; earliest=2022-07-05 start=2022-07-04
2026-02-07T23:01:07.189820-05:00 | BAC 2022-10-17: missing post-window coverage; latest=2022-10-30 end=2022-10-31
2026-02-07T23:01:07.192102-05:00 | BAC 2022-10-17: coverage incomplete; retrying per-day mode
2026-02-07T23:01:14.505364-05:00 | BAC 2022-10-17: missing post-window coverage; latest=2022-10-30 end=2022-10-31
2026-02-07T23:01:15.408528-05:00 | BAC 2023-01-13: missing post-window coverage; latest=2023-01-26 end=2023-01-27
2026-02-07T23:01:15.411702-05:00 | BAC 2023-01-13: coverage incomplete; retrying per-day mode
2026-02-07T23:01:22.889959-05:00 | BAC 2023-01-13: missing post-window coverage; latest=2023-01-26 end=2023-01-27
2026-02-07T23:01:25.239601-05:00 | BAC 2023-10-17: missing post-window coverage; latest=2023-10-30 end=2023-10-31
2026-02-07T23:01:25.242578-05:00 | BAC 2023-10-17: coverage incomplete; retrying per-day mode
2026-02-07T23:01:35.033229-05:00 | BAC 2023-10-17: missing post-window coverage; latest=2023-10-30 end=2023-10-31
2026-02-07T23:01:35.758942-05:00 | BAC 2024-01-12: missing pre-window coverage; earliest=2023-12-30 start=2023-12-29
2026-02-07T23:01:35.762160-05:00 | BAC 2024-01-12: coverage incomplete; retrying per-day mode
2026-02-07T23:01:43.603531-05:00 | BAC 2024-01-12: missing pre-window coverage; earliest=2023-12-30 start=2023-12-29
2026-02-07T23:01:46.997540-05:00 | BAC 2025-01-16: missing post-window coverage; latest=2025-01-29 end=2025-01-30
2026-02-07T23:01:47.000501-05:00 | BAC 2025-01-16: coverage incomplete; retrying per-day mode
2026-02-07T23:01:54.408842-05:00 | BAC 2025-01-16: missing post-window coverage; latest=2025-01-29 end=2025-01-30
2026-02-07T23:02:10.678449-05:00 | AMD 2021-01-26: missing post-window coverage; latest=2021-02-08 end=2021-02-09
2026-02-07T23:02:10.681779-05:00 | AMD 2021-01-26: coverage incomplete; retrying per-day mode
2026-02-07T23:02:19.322445-05:00 | AMD 2021-01-26: missing post-window coverage; latest=2021-02-08 end=2021-02-09
2026-02-07T23:02:20.867891-05:00 | AMD 2021-07-27: missing pre-window coverage; earliest=2021-07-15 start=2021-07-13
2026-02-07T23:02:20.870253-05:00 | AMD 2021-07-27: coverage incomplete; retrying per-day mode
2026-02-07T23:02:28.875842-05:00 | AMD 2021-07-27: missing pre-window coverage; earliest=2021-07-15 start=2021-07-13
2026-02-07T23:02:55.753948-05:00 | ABBV 2021-04-30: missing pre-window coverage; earliest=2021-04-18 start=2021-04-16
2026-02-07T23:02:55.755725-05:00 | ABBV 2021-04-30: coverage incomplete; retrying per-day mode
2026-02-07T23:03:04.576351-05:00 | ABBV 2021-04-30: missing pre-window coverage; earliest=2021-04-18 start=2021-04-16
2026-02-07T23:03:05.652349-05:00 | ABBV 2021-10-29: missing post-window coverage; latest=2021-11-10 end=2021-11-12
2026-02-07T23:03:05.653119-05:00 | ABBV 2021-10-29: coverage incomplete; retrying per-day mode
2026-02-07T23:03:13.785440-05:00 | ABBV 2021-10-29: missing post-window coverage; latest=2021-11-10 end=2021-11-12
2026-02-07T23:03:15.947914-05:00 | ABBV 2022-10-28: missing post-window coverage; latest=2022-11-10 end=2022-11-11
2026-02-07T23:03:15.949675-05:00 | ABBV 2022-10-28: coverage incomplete; retrying per-day mode
2026-02-07T23:03:23.289080-05:00 | ABBV 2022-10-28: missing post-window coverage; latest=2022-11-10 end=2022-11-11
2026-02-07T23:03:23.952638-05:00 | ABBV 2023-02-09: missing pre-window coverage; earliest=2023-01-27 start=2023-01-26
2026-02-07T23:03:23.954599-05:00 | ABBV 2023-02-09: coverage incomplete; retrying per-day mode
2026-02-07T23:03:34.047498-05:00 | ABBV 2023-02-09: missing pre-window coverage; earliest=2023-01-27 start=2023-01-26
2026-02-07T23:03:34.587256-05:00 | ABBV 2023-04-27: missing pre-window coverage; earliest=2023-04-14 start=2023-04-13
2026-02-07T23:03:34.588062-05:00 | ABBV 2023-04-27: missing post-window coverage; latest=2023-05-09 end=2023-05-11
2026-02-07T23:03:34.590716-05:00 | ABBV 2023-04-27: coverage incomplete; retrying per-day mode
2026-02-07T23:03:42.471458-05:00 | ABBV 2023-04-27: missing pre-window coverage; earliest=2023-04-14 start=2023-04-13
2026-02-07T23:03:42.472240-05:00 | ABBV 2023-04-27: missing post-window coverage; latest=2023-05-09 end=2023-05-11
2026-02-07T23:03:43.012912-05:00 | ABBV 2023-07-27: missing pre-window coverage; earliest=2023-07-14 start=2023-07-13
2026-02-07T23:03:43.013538-05:00 | ABBV 2023-07-27: missing post-window coverage; latest=2023-08-09 end=2023-08-10
2026-02-07T23:03:43.015785-05:00 | ABBV 2023-07-27: coverage incomplete; retrying per-day mode
2026-02-07T23:03:51.133256-05:00 | ABBV 2023-07-27: missing pre-window coverage; earliest=2023-07-14 start=2023-07-13
2026-02-07T23:03:51.134044-05:00 | ABBV 2023-07-27: missing post-window coverage; latest=2023-08-09 end=2023-08-10
