y_type,window,feature,corr,abs_corr
ret_pct,m1_p1,gro_growthOtherAdjustmentsToNetIncome,-0.024,0.024
ret_pct,m1_p1,gro_growthNetIncomeDeductions,0.053,0.053
ret_pct,m1_p1,est_revenueLow,-0.072,0.072
ret_pct,m1_p1,est_revenueHigh,-0.072,0.072
ret_pct,m1_p1,est_revenueAvg,-0.071,0.071
ret_pct,m1_p1,est_ebitdaLow,-0.015,0.015
ret_pct,m1_p1,est_ebitdaHigh,0.006,0.006
ret_pct,m1_p1,est_ebitdaAvg,-0.003,0.003
ret_pct,m1_p1,est_ebitLow,-0.069,0.069
ret_pct,m1_p1,est_ebitHigh,-0.053,0.053
ret_pct,m1_p1,est_ebitAvg,-0.061,0.061
ret_pct,m1_p1,est_netIncomeLow,-0.033,0.033
ret_pct,m1_p1,est_netIncomeHigh,-0.021,0.021
ret_pct,m1_p1,est_netIncomeAvg,-0.027,0.027
ret_pct,m1_p1,est_sgaExpenseLow,-0.011,0.011
ret_pct,m1_p1,est_sgaExpenseHigh,-0.008,0.008
ret_pct,m1_p1,est_sgaExpenseAvg,-0.009,0.009
ret_pct,m1_p1,est_epsAvg,-0.041,0.041
ret_pct,m1_p1,est_epsHigh,-0.035,0.035
ret_pct,m1_p1,est_epsLow,-0.042,0.042
ret_pct,m1_p1,est_numAnalystsRevenue,0.017,0.017
ret_pct,m1_p1,est_numAnalystsEps,-0.002,0.002
ret_pct,m5_p5,px_-5,-0.085,0.085
ret_pct,m5_p5,px_-1,-0.076,0.076
ret_pct,m5_p5,px_+0,-0.019,0.019
ret_pct,m5_p5,px_+1,-0.009,0.009
ret_pct,m5_p5,px_+5,0.015,0.015
ret_pct,m5_p5,px_+10,0.019,0.019
ret_pct,m5_p5,logpct_m5_p5,0.996,0.996
ret_pct,m5_p5,logpct_m1_p1,0.779,0.779
ret_pct,m5_p5,logpct_p0_p1,0.357,0.357
ret_pct,m5_p5,logpct_p0_p5,0.595,0.595
ret_pct,m5_p5,logpct_p0_p10,0.434,0.434
ret_pct,m5_p5,sur_quarter_rank,0.011,0.011
ret_pct,m5_p5,sur_actual_revenue,-0.092,0.092
ret_pct,m5_p5,sur_actual_ebitda,-0.046,0.046
ret_pct,m5_p5,sur_actual_ebit,-0.05,0.05
ret_pct,m5_p5,sur_actual_netIncome,-0.049,0.049
ret_pct,m5_p5,sur_actual_eps,-0.02,0.02
ret_pct,m5_p5,sur_est_revenue,-0.096,0.096
ret_pct,m5_p5,sur_est_ebitda,-0.04,0.04
ret_pct,m5_p5,sur_est_ebit,-0.067,0.067
ret_pct,m5_p5,sur_est_netIncome,-0.037,0.037
ret_pct,m5_p5,sur_est_eps,-0.028,0.028
ret_pct,m5_p5,sur_surprise_revenue,0.022,0.022
ret_pct,m5_p5,sur_surprise_revenue_pct,0.053,0.053
ret_pct,m5_p5,sur_surprise_ebitda,-0.008,0.008
ret_pct,m5_p5,sur_surprise_ebitda_pct,-0.028,0.028
ret_pct,m5_p5,sur_surprise_ebit,0.022,0.022
ret_pct,m5_p5,sur_surprise_ebit_pct,0.013,0.013
ret_pct,m5_p5,sur_surprise_netIncome,-0.0,0.0
ret_pct,m5_p5,sur_surprise_netIncome_pct,0.004,0.004
ret_pct,m5_p5,sur_surprise_eps,0.004,0.004
ret_pct,m5_p5,sur_surprise_eps_pct,-0.056,0.056
ret_pct,m5_p5,gro_fiscalYear,-0.0,0.0
ret_pct,m5_p5,gro_growthRevenue,0.1,0.1
ret_pct,m5_p5,gro_growthCostOfRevenue,-0.011,0.011
ret_pct,m5_p5,gro_growthGrossProfit,0.155,0.155
ret_pct,m5_p5,gro_growthGrossProfitRatio,0.148,0.148
ret_pct,m5_p5,gro_growthResearchAndDevelopmentExpenses,-0.007,0.007
ret_pct,m5_p5,gro_growthGeneralAndAdministrativeExpenses,-0.029,0.029
ret_pct,m5_p5,gro_growthSellingAndMarketingExpenses,-0.012,0.012
ret_pct,m5_p5,gro_growthOtherExpenses,-0.036,0.036
ret_pct,m5_p5,gro_growthOperatingExpenses,-0.034,0.034
ret_pct,m5_p5,gro_growthCostAndExpenses,-0.001,0.001
ret_pct,m5_p5,gro_growthInterestIncome,-0.123,0.123
ret_pct,m5_p5,gro_growthInterestExpense,-0.149,0.149
ret_pct,m5_p5,gro_growthDepreciationAndAmortization,-0.005,0.005
ret_pct,m5_p5,gro_growthEBITDA,0.048,0.048
ret_pct,m5_p5,gro_growthOperatingIncome,-0.017,0.017
ret_pct,m5_p5,gro_growthIncomeBeforeTax,0.026,0.026
ret_pct,m5_p5,gro_growthIncomeTaxExpense,0.029,0.029
ret_pct,m5_p5,gro_growthNetIncome,0.074,0.074
ret_pct,m5_p5,gro_growthEPS,0.051,0.051
ret_pct,m5_p5,gro_growthEPSDiluted,0.051,0.051
ret_pct,m5_p5,gro_growthWeightedAverageShsOut,0.036,0.036
