ticker,event_date,phase,publisher,n_units
AAPL,2022-01-27,post,pymnts.com,5
AAPL,2022-01-27,post,reuters.com,11
AAPL,2022-01-27,post,schaeffersresearch.com,2
AAPL,2022-01-27,post,seekingalpha.com,17
AAPL,2022-01-27,post,stockmarket.com,5
AAPL,2022-01-27,post,techcrunch.com,5
AAPL,2022-01-27,post,techxplore.com,3
AAPL,2022-01-27,post,thedogofwallstreet.com,2
AAPL,2022-01-27,post,theguardian.com,1
AAPL,2022-01-27,post,venturebeat.com,1
AAPL,2022-01-27,post,zacks.com,16
AAPL,2022-01-27,pre,247wallst.com,3
AAPL,2022-01-27,pre,barrons.com,5
AAPL,2022-01-27,pre,benzinga.com,8
AAPL,2022-01-27,pre,businessinsider.com,1
AAPL,2022-01-27,pre,businesswire.com,3
AAPL,2022-01-27,pre,cnbc.com,10
AAPL,2022-01-27,pre,cnet.com,3
AAPL,2022-01-27,pre,cnn.com,1
AAPL,2022-01-27,pre,deadline.com,1
AAPL,2022-01-27,pre,fool.com,28
AAPL,2022-01-27,pre,forbes.com,4
AAPL,2022-01-27,pre,foxbusiness.com,3
AAPL,2022-01-27,pre,gurufocus.com,4
AAPL,2022-01-27,pre,investopedia.com,3
AAPL,2022-01-27,pre,investorplace.com,15
AAPL,2022-01-27,pre,invezz.com,1
AAPL,2022-01-27,pre,marketwatch.com,8
AAPL,2022-01-27,pre,nypost.com,2
AAPL,2022-01-27,pre,nytimes.com,1
AAPL,2022-01-27,pre,proactiveinvestors.co.uk,1
AAPL,2022-01-27,pre,pymnts.com,9
AAPL,2022-01-27,pre,reuters.com,8
AAPL,2022-01-27,pre,seeitmarket.com,1
AAPL,2022-01-27,pre,seekingalpha.com,7
AAPL,2022-01-27,pre,techcrunch.com,3
AAPL,2022-01-27,pre,techxplore.com,4
AAPL,2022-01-27,pre,thedogofwallstreet.com,1
AAPL,2022-01-27,pre,zacks.com,23
AAPL,2022-04-28,post,barrons.com,6
AAPL,2022-04-28,post,benzinga.com,9
AAPL,2022-04-28,post,businessinsider.com,3
AAPL,2022-04-28,post,cnbc.com,11
AAPL,2022-04-28,post,cnet.com,5
AAPL,2022-04-28,post,cnn.com,6
AAPL,2022-04-28,post,finbold.com,2
AAPL,2022-04-28,post,fool.com,25
AAPL,2022-04-28,post,forbes.com,3
AAPL,2022-04-28,post,foxbusiness.com,3
AAPL,2022-04-28,post,gurufocus.com,5
AAPL,2022-04-28,post,investorplace.com,12
AAPL,2022-04-28,post,invezz.com,4
AAPL,2022-04-28,post,marketbeat.com,1
AAPL,2022-04-28,post,markets.businessinsider.com,1
AAPL,2022-04-28,post,marketwatch.com,12
AAPL,2022-04-28,post,news.sky.com,1
AAPL,2022-04-28,post,nypost.com,1
AAPL,2022-04-28,post,proactiveinvestors.co.uk,1
AAPL,2022-04-28,post,pulse2.com,3
AAPL,2022-04-28,post,pymnts.com,4
AAPL,2022-04-28,post,reuters.com,5
AAPL,2022-04-28,post,seekingalpha.com,8
AAPL,2022-04-28,post,techcrunch.com,5
AAPL,2022-04-28,post,techxplore.com,4
AAPL,2022-04-28,post,theguardian.com,1
AAPL,2022-04-28,post,zacks.com,14
AAPL,2022-04-28,pre,247wallst.com,1
AAPL,2022-04-28,pre,barrons.com,3
AAPL,2022-04-28,pre,benzinga.com,5
AAPL,2022-04-28,pre,businessinsider.com,1
AAPL,2022-04-28,pre,businesswire.com,7
AAPL,2022-04-28,pre,cnbc.com,10
AAPL,2022-04-28,pre,cnet.com,4
AAPL,2022-04-28,pre,cnn.com,3
AAPL,2022-04-28,pre,deadline.com,2
AAPL,2022-04-28,pre,finbold.com,4
AAPL,2022-04-28,pre,fool.com,19
AAPL,2022-04-28,pre,forbes.com,1
AAPL,2022-04-28,pre,foxbusiness.com,2
AAPL,2022-04-28,pre,gurufocus.com,4
AAPL,2022-04-28,pre,investopedia.com,1
AAPL,2022-04-28,pre,investorplace.com,19
AAPL,2022-04-28,pre,invezz.com,5
AAPL,2022-04-28,pre,kiplinger.com,1
AAPL,2022-04-28,pre,marketwatch.com,6
AAPL,2022-04-28,pre,nypost.com,3
AAPL,2022-04-28,pre,nytimes.com,1
AAPL,2022-04-28,pre,proactiveinvestors.co.uk,2
AAPL,2022-04-28,pre,pymnts.com,1
AAPL,2022-04-28,pre,reuters.com,8
AAPL,2022-04-28,pre,seekingalpha.com,7
AAPL,2022-04-28,pre,stockmarket.com,1
AAPL,2022-04-28,pre,techcrunch.com,4
AAPL,2022-04-28,pre,techxplore.com,2
AAPL,2022-04-28,pre,zacks.com,14
AAPL,2022-07-28,post,barrons.com,5
