ticker,earnings_date,date,offset,ret,ret_pct
NVDA,2023-08-23,2023-08-30,4,0.00983939836303449,0.9839398363034491
NVDA,2023-08-23,2023-08-31,5,0.0018471315566508384,0.18471315566508384
NVDA,2023-08-23,2023-09-01,6,-0.01714115196789534,-1.714115196789534
NVDA,2023-08-23,2023-09-05,7,0.0008040388135828191,0.08040388135828191
NVDA,2023-08-23,2023-09-06,8,-0.030549608938679307,-3.0549608938679307
NVDA,2023-08-23,2023-09-07,9,-0.017424233944471235,-1.7424233944471235
NVDA,2023-08-23,2023-09-08,10,-0.014467574917124693,-1.4467574917124693
NVDA,2023-11-21,2023-11-08,-10,,
NVDA,2023-11-21,2023-11-09,-9,0.008073124466856818,0.8073124466856818
NVDA,2023-11-21,2023-11-10,-8,0.029499437629748826,2.9499437629748826
NVDA,2023-11-21,2023-11-13,-7,0.005896358564432491,0.5896358564432491
NVDA,2023-11-21,2023-11-14,-6,0.021308018136448004,2.1308018136448004
NVDA,2023-11-21,2023-11-15,-5,-0.015466349297839188,-1.5466349297839188
NVDA,2023-11-21,2023-11-16,-4,0.012109452378161967,1.2109452378161967
NVDA,2023-11-21,2023-11-17,-3,-0.0036782188407133987,-0.36782188407133987
NVDA,2023-11-21,2023-11-20,-2,0.022536313831098997,2.2536313831098997
NVDA,2023-11-21,2023-11-21,-1,-0.009224590406498479,-0.9224590406498479
NVDA,2023-11-21,2023-11-22,0,-0.024587592294421423,-2.4587592294421423
NVDA,2023-11-21,2023-11-24,1,-0.019295471147881327,-1.9295471147881327
NVDA,2023-11-21,2023-11-27,2,0.009753823809732776,0.9753823809732776
NVDA,2023-11-21,2023-11-28,3,-0.008726877734221095,-0.8726877734221095
NVDA,2023-11-21,2023-11-29,4,0.006670867954378545,0.6670867954378545
NVDA,2023-11-21,2023-11-30,5,-0.028458601637223024,-2.8458601637223024
NVDA,2023-11-21,2023-12-01,6,-0.00010699794296253895,-0.010699794296253895
NVDA,2023-11-21,2023-12-04,7,-0.026836421165135627,-2.6836421165135627
NVDA,2023-11-21,2023-12-05,8,0.023293725525752595,2.3293725525752595
NVDA,2023-11-21,2023-12-06,9,-0.022827822494713157,-2.2827822494713157
NVDA,2023-11-21,2023-12-07,10,0.02402049171527265,2.402049171527265
NVDA,2024-02-21,2024-02-07,-10,,
NVDA,2024-02-21,2024-02-08,-9,-0.006533557648842669,-0.6533557648842669
NVDA,2024-02-21,2024-02-09,-8,0.03578378897416634,3.578378897416634
NVDA,2024-02-21,2024-02-12,-7,0.0015940772247500234,0.15940772247500234
NVDA,2024-02-21,2024-02-13,-6,-0.0016608524328545204,-0.16608524328545204
NVDA,2024-02-21,2024-02-14,-5,0.024567406006626546,2.4567406006626546
NVDA,2024-02-21,2024-02-15,-4,-0.01680662026016788,-1.6806620260167882
NVDA,2024-02-21,2024-02-16,-3,-0.0006194496689789775,-0.061944966897897746
NVDA,2024-02-21,2024-02-20,-2,-0.043531958331537446,-4.353195833153745
NVDA,2024-02-21,2024-02-21,-1,-0.028508891483801535,-2.8508891483801535
NVDA,2024-02-21,2024-02-22,0,0.16400864102522905,16.400864102522906
NVDA,2024-02-21,2024-02-23,1,0.0035524474165078423,0.35524474165078423
NVDA,2024-02-21,2024-02-26,2,0.003489315056180997,0.3489315056180997
NVDA,2024-02-21,2024-02-27,3,-0.004943935783655928,-0.49439357836559283
NVDA,2024-02-21,2024-02-28,4,-0.013188872050462486,-1.3188872050462486
NVDA,2024-02-21,2024-02-29,5,0.01865727756198332,1.865727756198332
NVDA,2024-02-21,2024-03-01,6,0.04003186925615476,4.003186925615476
